id	token	probability	possibilities	in_lexicon	XPOS	number	gender	case	degree	person	tense	mood	voice
1	Κεφάλων	0.9990794102512227	3	True	noun	SG	MASC	NOM	_	_	_	_	_
2	μέν	0.9997654664631092	1	True	particle	_	_	_	_	_	_	_	_
3	γάρ	0.9995056460316841	1	True	particle	_	_	_	_	_	_	_	_
4	ὁ	0.9996073096562209	1	True	article	SG	MASC	NOM	_	_	_	_	_
5	Γεργίθιος	0.8951807588776832	1	True	noun	SG	MASC	NOM	_	_	_	_	_
6	συγγραφεύς	0.9993982313420805	1	True	noun	SG	MASC	NOM	_	_	_	_	_
7	παλαιός	0.9991614372001208	1	True	adjective	SG	MASC	NOM	POS	_	_	_	_
8	πάνυ	0.9992983758574535	1	True	adverb	_	_	_	POS	_	_	_	_
9	δευτέρᾳ	0.9975896994147825	1	True	adjective	SG	FEM	DAT	POS	_	_	_	_
10	γενεᾷ	0.9996735232986524	1	True	noun	SG	FEM	DAT	_	_	_	_	_
11	μετά	0.9998925969662326	1	True	preposition	_	_	_	_	_	_	_	_
12	τόν	0.9997785262321558	1	True	article	SG	MASC	ACC	_	_	_	_	_
13	Ἰλιακόν	0.9995234886694284	4	True	adjective	SG	MASC	ACC	POS	_	_	_	_
14	πόλεμον	0.9997531401489618	1	True	noun	SG	MASC	ACC	_	_	_	_	_
15	ἐκτίσθαι	0.991686423372351	1	True	infinitive	_	_	_	_	_	PF	_	MID
16	λέγει	0.9996189468655331	2	True	verb	SG	_	_	_	3	PRES	IND	ACT
17	τήν	0.9997384786166494	1	True	article	SG	FEM	ACC	_	_	_	_	_
18	πόλιν	0.9996579118257655	1	True	noun	SG	FEM	ACC	_	_	_	_	_
19	ὑπό	0.9999114305846892	1	True	preposition	_	_	_	_	_	_	_	_
20	τῶν	0.9991351904574536	3	True	article	PL	MASC	GEN	_	_	_	_	_
21	ἐξ	0.9998842522979723	1	True	preposition	_	_	_	_	_	_	_	_
22	Ἰλίου	0.9832170705486538	5	True	noun	SG	NEUT	GEN	_	_	_	_	_
23	διασωθέντων	0.9977824105609122	2	True	participle	PL	MASC	GEN	_	_	AOR	_	PASS
24	σύν	0.999874240052864	1	True	preposition	_	_	_	_	_	_	_	_
25	Αἰνείᾳ	0.9997315666185602	1	True	noun	SG	MASC	DAT	_	_	_	_	_
26	,	0.9999316950491816	1744	False	PUNCT	_	_	_	_	_	_	_	_
27	οἰκιστήν	0.9996157759924243	1	True	noun	SG	MASC	ACC	_	_	_	_	_
28	δέ	0.9998872323990471	1	True	coordinator	_	_	_	_	_	_	_	_
29	αὐτῆς	0.9997277493369342	1	True	demonstrative	SG	FEM	GEN	_	_	_	_	_
30	ἀποφαίνει	0.9995697310973586	2	True	verb	SG	_	_	_	3	PRES	IND	ACT
